Lead_ID,BusinessName,FirstName,MiddleName,LastName,PhoneNumber,eMail,BuildingName,Subb,BuildingNumber,StreetName,Town,County,PostCode,MeterType,MeterTypeCode,domesticMeter,Lead Hash,RelatedMeter,AMR,CurrentElectricitySupplier,contractEndDay,contractEndMonth,contractEndYear,Meter Serial Number,SupplyNumber,assignedTo,Comments,errors
BL1,NA,NA,NA,NA,NA,NA,CANNING STREET MOSQUE,NA,NA,BLACKBURN ROAD,BOLTON,LANCASHIRE,BL1 8HB,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,a97e87ac-c895-4e24-8bae-58effd68f212,False,True,Opus Energy Limited,NA,NA,NA,E11Z68722,S038016311610030061952,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL2,R N CLEARTONE LTD EMPIRE DIRECT,NA,NA,NA,NA,NA,NA,NA,235,BLACKBURN ROAD,BOLTON,LANCASHIRE,BL1 8HB,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,726899a3-6fed-4f3e-8cc2-0661ce3eed40,False,False,EON Energy Ltd,NA,NA,NA,,S038016311600000084464,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL3,NA,NA,NA,NA,NA,NA,NA,NA,295,BLACKBURN ROAD,BOLTON,LANCASHIRE,BL1 8HB,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,ae0aa560-3a33-4c90-ae07-95742622706f,False,True,Pozitive Energy Ltd,NA,NA,NA,211179178,S038016311610030061864,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL4,S H DENTAL,NA,NA,NA,NA,NA,NA,NA,295A,BLACKBURN ROAD,BOLTON,LANCASHIRE,BL1 8HB,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,a9827989-774b-4c77-b71a-26621cccfdbf,False,False,EON Energy Ltd,NA,NA,NA,F94M05275,S038011311610030061873,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL5,NA,NA,NA,NA,NA,NA,NA,NA,299,BLACKBURN ROAD,BOLTON,LANCASHIRE,BL1 8HB,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,46bb6aa3-7fde-4dd4-a1b5-e663001d0a12,False,False,EON Energy Ltd,NA,NA,NA,P14W085882,S038016311610030061846,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL6,NA,NA,NA,NA,NA,NA,NA,NA,301,BLACKBURN ROAD,BOLTON,LANCASHIRE,BL1 8HB,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,ca33e8c3-41f6-43ae-9a1d-cbe5053c7c37,False,False,ATLANTIC ELECTRIC AND GAS,NA,NA,NA,F79M19678,S038011311610030061819,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL7,ADAM & SON NORTH WEST LTD,NA,NA,NA,NA,NA,NA,NA,303-305,BLACKBURN ROAD,BOLTON,LANCASHIRE,BL1 8HB,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,10e63c90-cea8-4270-920c-5c3831e0b7e0,False,True,AmpowerUK Ltd,NA,NA,NA,E16BG01024,S038016311610030061800,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL8,LLOYDS TSB BANK PLC,NA,NA,NA,NA,NA,NA,NA,119,DEANSGATE,BOLTON,LANCASHIRE,BL1 1HA,NHH 7hr E7 GMT Non-Prog T/S,E7,No,3f209ad9-91e6-49ca-82e4-04a883a0c1e9,False,False,Opus Energy Limited,NA,NA,NA,F86M24193,S048111611610029528424,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL9,BAMBU,NA,NA,NA,NA,NA,NA,NA,119A,DEANSGATE,BOLTON,LANCASHIRE,BL1 1HA,E7 Evening and W/E T/S,EWN,No,c940c35c-92da-40a2-be2a-34920c2f9b4b,False,False,Electricity Plus Supply Ltd t/a The Utility Warehouse,NA,NA,NA,F89M83253,S040051711610029528390,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL10,NA,NA,NA,NA,NA,NA,NA,SAVE THE CHILDREN VANILLA RED,121,DEANSGATE,BOLTON,LANCASHIRE,BL1 1HA,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,90538693-d247-4d29-8619-8d9891b14c04,False,False,Octopus Energy Limited,NA,NA,NA,L310J00435,S038016311610029528372,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL11,NA,NA,NA,NA,NA,NA,NA,NA,123,DEANSGATE,BOLTON,LANCASHIRE,BL1 1HA,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,687f4d28-1dcc-4c92-8784-b9be231980a3,False,True,Opus Energy (Corporate) Ltd,NA,NA,NA,E10BG04767,S038016311610029528363,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL12,WESLEY OWEN BOOKS & MUSIC,NA,NA,NA,NA,NA,NA,NA,129,DEANSGATE,BOLTON,LANCASHIRE,BL1 1HA,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,0f68e357-a660-46aa-89b7-0587612563bb,False,True,Opus Energy Limited,NA,NA,NA,209167319,S038016311610029528354,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL13,CARDINE WEBB HAIRDRESSING,NA,NA,NA,NA,NA,NA,NA,131,DEANSGATE,BOLTON,LANCASHIRE,BL1 1HA,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,fbff5c11-5c01-43a6-8e37-0cc3222934c3,True,True,BES Commercial Electricity Ltd,NA,NA,NA,E13Z023857,S035006311610029528336,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL15,NA,NA,NA,NA,NA,NA,NA,THE VENUE YMCA CHARITY SHOP,133,DEANSGATE,BOLTON,LANCASHIRE,BL1 1HA,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,cdb05e4e-46ee-4064-8f6b-354e1eca19f6,False,True,Opus Energy Limited,NA,NA,NA,E13TD00247,S038016311610029528327,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL16,DEAN COCOZZA'S BARBERS SHOP,NA,NA,NA,NA,NA,NA,NA,135,DEANSGATE,BOLTON,LANCASHIRE,BL1 1HA,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,c7eb4f54-dca7-40b5-a61f-3e7887914a45,False,False,NPOWER NORTHERN SUPPLY LTD.,NA,NA,NA,F93M14747,S038011311610029528318,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL17,NA,NA,NA,NA,NA,NA,TAIYABAH MOSQUE,TEMPORARY SUPPLY,NA,BLACKBURN ROAD,BOLTON,LANCASHIRE,BL1 8DT,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,f70cf14e-babb-47da-b7e0-97353d9c538d,False,True,British Gas Trading,NA,NA,NA,E17UP14274,S038016311640000706067,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL20,NA,NA,NA,NA,NA,NA,NA,CYCLE SUPERSTORES,240,BLACKBURN ROAD,BOLTON,LANCASHIRE,BL1 8DT,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,af989890-a0e3-414b-a0af-77ce29bcb4ca,False,False,Hudson Energy Supply UK Limited,NA,NA,NA,A02M65435,S038011311620001286218,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL21,NA,NA,NA,NA,NA,NA,NA,LANDLORD SUPPLY,240,BLACKBURN ROAD,BOLTON,LANCASHIRE,BL1 8DT,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,709b231e-62f3-4190-882d-718a946439a2,False,False,EON Energy Ltd,NA,NA,NA,A01M44689,S038011311620001286193,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL22,P K FOODS,NA,NA,NA,NA,NA,NA,UNIT 1,240,BLACKBURN ROAD,BOLTON,LANCASHIRE,BL1 8DT,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,7b51dc2c-5faf-4e5a-bf5b-dcf1d51c08fb,False,True,AmpowerUK Ltd,NA,NA,NA,E15BG04710,S038016311620001286209,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL23,DENTAL SURGERY,NA,NA,NA,NA,NA,NA,NA,274,BLACKBURN ROAD,BOLTON,LANCASHIRE,BL1 8DT,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,d8efc3ce-a94c-452e-9fb3-40964505b30b,False,False,British Gas Trading,NA,NA,NA,F77M13075,S038011311610029989111,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL24,NA,NA,NA,NA,NA,NA,GARAGE,NA,NA,GOWER STREET,BOLTON,LANCASHIRE,BL4 7EY,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,3669d86f-ddb8-4c47-93ae-ef849f262e88,False,False,EON Energy Ltd,NA,NA,NA,D14W062829,S038016311610029641741,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL25,NA,NA,NA,NA,NA,NA,LOWER RESERVOIR,NA,NA,GOWER STREET,BOLTON,LANCASHIRE,BL4 7EY,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,3e610245-ab75-4f54-b03d-4e1a34d4192e,False,False,SCOTTISHPOWER ENERGY RETAIL LTD.,NA,NA,NA,K11W512712,S038016311640000185006,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL26,NA,NA,NA,NA,NA,NA,STORAGE COMPOUND,NA,NA,GOWER STREET,BOLTON,LANCASHIRE,BL4 7EY,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,820f44d8-8986-42d3-8441-424e4b06ea77,False,False,EON Energy Ltd,NA,NA,NA,,S038016311630000892828,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL27,STANDARD MOTORS,NA,NA,NA,NA,NA,BRITANNIA WORKS,NA,NA,GOWER STREET,BOLTON,LANCASHIRE,BL4 7EY,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,60de4c8d-a07a-4e04-b88c-7bbc74866b1c,False,True,Opus Energy Limited,NA,NA,NA,E11BG24360,S038016311610029641876,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL28,THE STORAGE COMPOUND JAPANESE AUTOPARTS,NA,NA,NA,NA,NA,NA,NA,24-26,GOWER STREET,BOLTON,LANCASHIRE,BL4 7EY,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,657faf6d-8b20-44ec-ab15-9c6dfc03b881,False,False,EON Energy Ltd,NA,NA,NA,E13W199729,S038016311640000484952,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
BL29,NA,NA,NA,NA,NA,NA,NA,REAR,26,GOWER STREET,BOLTON,LANCASHIRE,BL4 7EY,NHH Unrestricted 1-rate Non-Prog Credit Meter,STD,No,c5883a86-3e9c-4e12-a344-3fcca63b3b0b,False,False,EON Energy Ltd,NA,NA,NA,A02M72860,S038011311610029641788,NA,NA,"{'lead_hash': [ErrorDetail(string='lead with this lead hash already exists.', code='unique')]}"
